Model,train_f1,validation_f1,train_producer_accuracy,validation_producer_accuracy,train_consumer_accuracy,validation_consumer_accuracy,prediction_time
RandomForest,0.9829683698296837,0.8901734104046243,[0.9758454106280193],[0.8953488372093024],,,0.00023126602172851562
GradientTreeBoost,0.9439024390243902,0.8524590163934426,[0.9347826086956522],[0.9069767441860465],,,0.0007650852203369141
DecisionTree,1,0.8444444444444444,[1],[0.8837209302325582],,,0.0006608963012695312
SVM,0.8581997533908754,0.8170731707317073,[0.8405797101449275],[0.7790697674418605],,,0.00017213821411132812
