Model,train_f1,validation_f1,train_producer_accuracy,validation_producer_accuracy,train_consumer_accuracy,validation_consumer_accuracy,prediction_time
RandomForest,0.9890109890109889,0.8564231738035265,[0.9938650306748467],[0.918918918918919],,,0.0
GradientTreeBoost,0.9185441941074524,0.85785536159601,[0.9754601226993865],[0.9297297297297298],,,0.0
DecisionTree,1,0.7814207650273224,[1],[0.772972972972973],,,0.0010001659393310547
SVM,0.8624368332397528,0.8571428571428572,[0.9423312883435583],[0.9405405405405406],,,0.0
