Feature,Importance
slope,189.8880602832808
elevation,184.91139439484206
SR_B7,177.0739145434855
SR_B6,172.9173779236265
SR_B5,171.56090401235056
aspect,168.59094587778787
DtRiver,167.67030474801814
NDVI,161.18316669305887
NDWI,160.3998547925036
NDFI,156.4427050217198
SR_B1,156.34293977861753
SR_B3,155.07087054841895
SR_B4,154.21830537614736
WRI,154.1101259081323
SR_B2,151.10719124180463
NDBI,145.8891099692821
