,0
accuracy,0.5895316804407713
precision,0.5647668393782384
recall,0.6264367816091954
f1_score,0.5940054495912807
precision_mean,0.5912069491008839
recall_mean,0.5909961685823755
f1_mean,0.5911015400511078
