Model,train_f1,validation_f1,train_producer_accuracy,validation_producer_accuracy,train_consumer_accuracy,validation_consumer_accuracy,prediction_time
RandomForest,0.9925558312655087,0.8625592417061612,[0.9975062344139651],[0.9191919191919192],,,0.0005769729614257812
GradientTreeBoost,0.9156908665105387,0.8755760368663595,[0.9750623441396509],[0.9595959595959596],,,0.00038313865661621094
DecisionTree,1,0.7817258883248731,[1],[0.7777777777777778],,,0.00042510032653808594
SVM,0.8667439165701042,0.8638497652582159,[0.9326683291770573],[0.9292929292929293],,,0.0007071495056152344
