Feature,Importance
elevation,127.18229886711255
slope,112.30741253763668
NDVI,112.21711341864746
SR_B7,109.97044357940412
SR_B3,108.71424991563613
aspect,107.70352398684093
NDFI,106.00922536578591
NDBI,105.96061520491818
SR_B2,104.09468969183136
SR_B5,103.79376257944216
SR_B6,102.59075045193677
SR_B4,100.52420300062781
SR_B1,100.02625128328174
DtRiver,99.68077269686144
WRI,98.77764380292186
NDWI,94.65748960168733
