Susceptibility Level,Category,Exposed Population,Exposed Nighttime Light,lulc_water,lulc_trees,lulc_flooded_vegetation,lulc_crops,lulc_built_area,lulc_bare_ground,lulc_snow_ice,lulc_clouds,lulc_rangeland,population_p,ntl_p,lulc_water_p,lulc_trees_p,lulc_flooded_vegetation_p,lulc_crops_p,lulc_built_area_p,lulc_bare_ground_p,lulc_snow_ice_p,lulc_clouds_p,lulc_rangeland_p
1,Very Low,307688,511.63,187.67,16527.21,0.9,1198.22,6356.27,4.41,0,0,792.45,7.99,11.06,0.84,38.22,0.02,0.54,13.6,0.9,0.0,0.0,25.47
2,Low,1035442,1748.39,2256.45,19048.44,185.88,18248.57,22452.33,29.61,0,0,1036.42,26.89,37.78,10.1,44.06,4.19,8.19,48.03,6.07,0.0,0.0,33.31
3,Moderate,1022398,1671.5,8624.96,5730.48,1151.96,52764.55,11771.85,384.39,0,0,643.43,26.55,36.12,38.62,13.25,25.99,23.68,25.18,78.79,0.0,0.0,20.68
4,High,770175,331.28,6867.92,1517.13,1523.9,69051.77,4162.94,68.53,0,0,349.24,20.0,7.16,30.75,3.51,34.38,31.0,8.9,14.05,0.0,0.0,11.22
5,Very High,715093,364.73,4397.77,413.55,1570.41,81517.61,2006.31,0.9,0,0,289.9,18.57,7.88,19.69,0.96,35.43,36.59,4.29,0.18,0.0,0.0,9.32
