Model,train_f1,validation_f1,train_producer_accuracy,validation_producer_accuracy,train_consumer_accuracy,validation_consumer_accuracy,prediction_time
RandomForest,0.9895897121861604,0.7457627118644068,[0.9901960784313726],[0.717391304347826],,,0.0003268718719482422
GradientTreeBoost,0.9135499693439607,0.7493112947658401,[0.9129901960784313],[0.7391304347826086],,,0.0006489753723144531
DecisionTree,1,0.6521739130434783,[1],[0.6521739130434783],,,0.0005710124969482422
SVM,0.5780525502318392,0.5429553264604812,[0.4583333333333333],[0.42934782608695654],,,0.0005092620849609375
