Model,train_f1,validation_f1,train_producer_accuracy,validation_producer_accuracy,train_consumer_accuracy,validation_consumer_accuracy,prediction_time
RandomForest,0.9943995021779714,0.9090909090909091,[0.9925465838509316],[0.8717948717948718],,,0.0
GradientTreeBoost,0.9420012746972595,0.906166219839142,[0.9180124223602485],[0.8666666666666667],,,0.0
DecisionTree,1,0.8877551020408163,[1],[0.8923076923076924],,,0.0
SVM,0.9045751633986929,0.9110512129380054,[0.8596273291925466],[0.8666666666666667],,,0.0
