Model,train_f1,validation_f1,train_producer_accuracy,validation_producer_accuracy,train_consumer_accuracy,validation_consumer_accuracy,prediction_time
RandomForest,0.984247006931317,0.7298578199052133,[0.9811557788944724],[0.7549019607843137],,,0.00021696090698242188
GradientTreeBoost,0.893643031784841,0.7263922518159807,[0.9183417085427136],[0.7352941176470589],,,0.0004878044128417969
DecisionTree,1,0.614609571788413,[1],[0.5980392156862745],,,0.00048804283142089844
SVM,0.7489464178205901,0.7294117647058822,[0.7814070351758794],[0.7598039215686274],,,0.0005681514739990234
