Model,train_f1,validation_f1,train_producer_accuracy,validation_producer_accuracy,train_consumer_accuracy,validation_consumer_accuracy,prediction_time
RandomForest,0.9795412275263484,0.835820895522388,[0.9825870646766169],[0.8571428571428571],,,0.0003077983856201172
GradientTreeBoost,0.9224084419615146,0.8279301745635911,[0.9241293532338308],[0.8469387755102041],,,0.0013298988342285156
DecisionTree,1,0.7864077669902914,[1],[0.826530612244898],,,0.00040984153747558594
SVM,0.8690176322418137,0.8413098236775819,[0.8582089552238806],[0.8520408163265306],,,0.0005812644958496094
