Model,train_f1,validation_f1,train_producer_accuracy,validation_producer_accuracy,train_consumer_accuracy,validation_consumer_accuracy,prediction_time
RandomForest,0.994343180389692,0.9643705463182898,[1],[0.9712918660287081],,,0.0
GradientTreeBoost,0.9691358024691357,0.9620853080568721,[0.9924146649810367],[0.9712918660287081],,,0.0
DecisionTree,1,0.9353233830845771,[1],[0.8995215311004785],,,0.0
SVM,0.9628252788104088,0.9643705463182898,[0.9823008849557522],[0.9712918660287081],,,0.0
