Feature,Importance
elevation,94.38942439113085
DtRiver,85.47688319253245
WRI,82.31644196648472
SR_B4,81.12330967791046
SR_B3,79.52287698830791
SR_B6,77.69202204640865
aspect,76.88775211010177
SR_B2,76.42058926942454
SR_B5,75.056506138568
NDFI,74.09709669199346
NDWI,73.71349442547518
SR_B1,72.87866285521467
SR_B7,72.33741277670704
slope,71.81477188754015
NDVI,69.42206539037201
NDBI,68.92986129109535
