Model,train_f1,validation_f1,train_producer_accuracy,validation_producer_accuracy,train_consumer_accuracy,validation_consumer_accuracy,prediction_time
RandomForest,0.9511355815554026,0.7426900584795323,[0.9664335664335665],[0.7134831460674157],,,0.00015592575073242188
GradientTreeBoost,0.8814055636896047,0.7151515151515152,[0.8419580419580419],[0.6629213483146067],,,0.0007238388061523438
DecisionTree,1,0.6743515850144092,[1],[0.6573033707865169],,,0.0007989406585693359
SVM,0.6018440905280804,0.5547945205479452,[0.5020979020979021],[0.4550561797752809],,,0.0014662742614746094
