Susceptibility Level,Category,Exposed Population,Exposed Nighttime Light,lulc_water,lulc_trees,lulc_flooded_vegetation,lulc_crops,lulc_built_area,lulc_bare_ground,lulc_snow_ice,lulc_clouds,lulc_rangeland,population_p,ntl_p,lulc_water_p,lulc_trees_p,lulc_flooded_vegetation_p,lulc_crops_p,lulc_built_area_p,lulc_bare_ground_p,lulc_snow_ice_p,lulc_clouds_p,lulc_rangeland_p
1,Very Low,412713,937.17,1417.02,433.0,546.0,40346.87,5196.11,895.48,0.0,0.0,8412.79,24.68,35.74,12.3,82.63,14.3,17.16,47.36,4.69,0.0,0.0,17.55
2,Low,374093,630.82,3031.43,83.0,950.0,49906.32,2717.48,1679.71,0.0,0.0,8345.51,22.37,24.06,26.3,15.84,24.88,21.22,24.77,8.79,0.0,0.0,17.41
3,Moderate,333117,540.58,2559.33,5.0,904.0,50644.17,1522.51,2665.04,0.0,0.0,9024.17,19.92,20.61,22.21,0.95,23.67,21.54,13.88,13.95,0.0,0.0,18.83
4,High,296818,256.29,2240.42,2.0,688.0,50557.92,973.48,3902.67,0.0,0.0,9908.11,17.75,9.77,19.44,0.38,18.02,21.5,8.87,20.43,0.0,0.0,20.67
5,Very High,255499,257.53,2276.58,1.0,731.0,43705.15,562.0,9956.76,0.0,0.0,12234.04,15.28,9.82,19.75,0.19,19.14,18.59,5.12,52.13,0.0,0.0,25.53
