Susceptibility Level,Exposed Population,Exposed Nighttime Light,lulc_water,lulc_trees,lulc_flooded_vegetation,lulc_crops,lulc_built_area,lulc_bare_ground,lulc_snow_ice,lulc_clouds,lulc_rangeland,Category
1,3339053.6366846045,186806.24699356087,27669.0862745098,798,2847.0,505745.0,39035.68235294118,7047.996078431373,0,0,55534.529411764706,Very Low
2,3462357.708778765,186665.84866794792,30927.415686274508,1804,4662.0,477300.81568627455,34853.52156862745,19623.043137254906,0,0,102338.90196078428,Low
3,2932071.5419340143,146565.09890638193,20359.498039215687,1816,5266.0,447515.56470588234,21357.415686274508,35152.61960784314,0,0,108106.19999999998,Moderate
4,2445352.3268712973,90522.70391691619,17698.796078431373,780,7036.0,449637.7686274509,11757.231372549018,56686.23529411764,0,0,106648.04705882352,High
5,1994325.158772652,45582.70535690504,19442.70980392157,62,18501.894117647058,428656.6352941176,4636.8901960784315,74194.61960784314,0,0,99309.50588235294,Very High
