Model,train_f1,validation_f1,train_producer_accuracy,validation_producer_accuracy,train_consumer_accuracy,validation_consumer_accuracy,prediction_time
RandomForest,0.9941747572815535,0.7412280701754387,[0.9896907216494846],[0.7544642857142857],,,0.0002751350402832031
GradientTreeBoost,0.9356499356499357,0.7321428571428571,[0.9368556701030928],[0.7321428571428571],,,0.00026607513427734375
DecisionTree,1,0.6559633027522935,[1],[0.6383928571428571],,,0.0005590915679931641
SVM,0.26780021253985126,0.2826855123674912,[0.16237113402061856],[0.17857142857142858],,,0.00034308433532714844
