Feature,Importance
elevation,227.90562521466506
slope,151.15093622070722
SR_B1,142.7705133091519
SR_B7,131.68179920854237
SR_B3,129.0945453692742
NDWI,124.19969806188689
SR_B6,123.55695643723759
aspect,123.55033100243975
SR_B2,122.30222850373934
NDVI,122.24491415108844
NDBI,119.83997041385778
SR_B4,118.96438753098035
SR_B5,117.6356196879775
