Number of Trees,F1 Score
10,0.826196474
20,0.831234257
30,0.832917706
40,0.837092732
50,0.832917706
60,0.835
70,0.835820896
80,0.835820896
90,0.837905237
100,0.835820896
110,0.842105263
120,0.837905237
130,0.832917706
140,0.830845771
150,0.835
160,0.83
170,0.83
180,0.832080201
190,0.832080201
200,0.832080201
210,0.832080201
220,0.827930175
230,0.83
240,0.832080201
250,0.835
260,0.832080201
270,0.83
280,0.83
290,0.83
300,0.83
