Susceptibility Level,Exposed Population,Exposed Nighttime Light,lulc_water,lulc_trees,lulc_flooded_vegetation,lulc_crops,lulc_built_area,lulc_bare_ground,lulc_snow_ice,lulc_clouds,lulc_rangeland,Category
1,3812.484642539305,155.26136230335516,3.0,8,4,669.0627450980392,2.576470588235294,1.0,0,0,47.576470588235296,Very Low
2,3752.2652208601726,104.84265731584792,23.576470588235296,5,8,596.9882352941177,15.576470588235294,5.0,0,0,54.62352941176471,Low
3,4630.4354308436905,307.1378542153274,25.623529411764707,0,9,690.2470588235294,18.24705882352941,16.623529411764707,0,0,145.4,Moderate
4,6312.540646081112,401.19410591931904,27.200000000000003,1,4,749.9058823529411,37.247058823529414,60.247058823529414,0,0,201.6470588235294,High
5,5975.105851112392,509.53780409974206,58.15294117647059,4,4,862.7843137254903,38.94117647058824,118.07058823529412,0,0,250.57647058823522,Very High
